Step,Timestamp,Baseline Energy (kWh),AI Closed-Loop Energy (kWh),Baseline Temp (°C),AI Closed-Loop Temp (°C),Baseline PMV,AI PMV,Carbon Intensity (gCO2/kWh),Baseline Carbon (g),AI Carbon (g)
1,2026-07-25 00:00:00,0.609,0.169,21.19,20.99,-0.142,-0.192,360.0,219.24,60.84
2,2026-07-25 00:05:00,0.874,0.15,21.01,20.49,-0.182,-0.266,357.7,312.63,53.65
3,2026-07-25 00:10:00,1.029,0.15,20.9,20.01,-0.196,-0.359,355.4,365.71,53.31
4,2026-07-25 00:15:00,1.121,0.15,20.84,19.55,-0.207,-0.441,353.1,395.83,52.97
5,2026-07-25 00:20:00,1.176,0.15,20.8,19.11,-0.221,-0.523,350.7,412.42,52.6
6,2026-07-25 00:25:00,1.211,0.15,20.78,18.69,-0.226,-0.605,348.3,421.79,52.24
7,2026-07-25 00:30:00,1.234,0.15,20.76,18.28,-0.215,-0.669,345.9,426.84,51.88
8,2026-07-25 00:35:00,1.25,0.15,20.75,17.9,-0.219,-0.743,343.5,429.38,51.52
9,2026-07-25 00:40:00,1.262,0.15,20.74,17.53,-0.23,-0.799,341.0,430.34,51.15
10,2026-07-25 00:45:00,1.271,0.15,20.74,17.17,-0.223,-0.873,338.6,430.36,50.79
11,2026-07-25 00:50:00,1.279,0.15,20.73,16.83,-0.231,-0.934,336.1,429.87,50.41
12,2026-07-25 00:55:00,1.285,0.15,20.73,16.51,-0.235,-0.988,333.6,428.68,50.04
13,2026-07-25 01:00:00,1.291,0.15,20.72,16.19,-0.232,-1.041,331.1,427.45,49.66
14,2026-07-25 01:05:00,1.296,0.242,20.72,15.94,-0.24,-1.085,328.5,425.74,79.5
15,2026-07-25 01:10:00,1.301,0.458,20.72,15.79,-0.233,-1.113,326.0,424.13,149.31
16,2026-07-25 01:15:00,1.305,0.583,20.71,15.7,-0.222,-1.128,323.4,422.04,188.54
17,2026-07-25 01:20:00,1.309,0.655,20.71,15.66,-0.233,-1.145,320.8,419.93,210.12
18,2026-07-25 01:25:00,1.313,0.698,20.71,15.63,-0.229,-1.153,318.3,417.93,222.17
19,2026-07-25 01:30:00,1.316,0.723,20.71,15.61,-0.228,-1.145,315.7,415.46,228.25
20,2026-07-25 01:35:00,1.318,0.739,20.7,15.6,-0.229,-1.158,313.1,412.67,231.38
21,2026-07-25 01:40:00,1.321,0.748,20.7,15.59,-0.237,-1.144,310.5,410.17,232.25
22,2026-07-25 01:45:00,1.323,0.754,20.7,15.59,-0.232,-1.156,307.8,407.22,232.08
23,2026-07-25 01:50:00,1.324,0.758,20.7,15.59,-0.237,-1.149,305.2,404.08,231.34
24,2026-07-25 01:55:00,1.325,0.761,20.7,15.58,-0.238,-1.15,302.6,400.94,230.28
25,2026-07-25 02:00:00,1.326,0.762,20.7,15.58,-0.225,-1.156,300.0,397.8,228.6
26,2026-07-25 02:05:00,1.326,0.763,20.7,15.58,-0.226,-1.151,297.4,394.35,226.92
27,2026-07-25 02:10:00,1.326,0.763,20.7,15.58,-0.228,-1.15,294.8,390.9,224.93
28,2026-07-25 02:15:00,1.326,0.763,20.7,15.58,-0.225,-1.151,292.2,387.46,222.95
29,2026-07-25 02:20:00,1.325,0.762,20.7,15.58,-0.232,-1.16,289.5,383.59,220.6
30,2026-07-25 02:25:00,1.324,0.761,20.7,15.58,-0.237,-1.146,286.9,379.86,218.33
31,2026-07-25 02:30:00,1.322,0.759,20.7,15.58,-0.236,-1.165,284.3,375.84,215.78
32,2026-07-25 02:35:00,1.32,0.757,20.7,15.59,-0.233,-1.145,281.7,371.84,213.25
33,2026-07-25 02:40:00,1.317,0.755,20.7,15.59,-0.234,-1.16,279.2,367.71,210.8
34,2026-07-25 02:45:00,1.315,0.752,20.71,15.59,-0.236,-1.159,276.6,363.73,208.0
35,2026-07-25 02:50:00,1.312,0.749,20.71,15.59,-0.241,-1.154,274.0,359.49,205.23
36,2026-07-25 02:55:00,1.308,0.745,20.71,15.59,-0.239,-1.157,271.5,355.12,202.27
37,2026-07-25 03:00:00,1.304,0.741,20.71,15.6,-0.223,-1.149,268.9,350.65,199.25
38,2026-07-25 03:05:00,1.3,0.737,20.72,15.6,-0.232,-1.157,266.4,346.32,196.34
39,2026-07-25 03:10:00,1.295,0.732,20.72,15.6,-0.233,-1.151,263.9,341.75,193.17
