Step,Timestamp,Baseline Energy (kWh),AI Closed-Loop Energy (kWh),Baseline Temp (°C),AI Closed-Loop Temp (°C),Baseline PMV,AI PMV,Carbon Intensity (gCO2/kWh),Baseline Carbon (g),AI Carbon (g)
1,2026-07-25 00:00:00,0.3,0.3,22.09,22.09,0.022,0.01,360.0,108.0,108.0
2,2026-07-25 00:05:00,0.3,0.3,22.02,22.02,0.005,0.006,357.7,107.31,107.31
3,2026-07-25 00:10:00,0.3,0.3,21.95,21.95,-0.014,-0.012,355.4,106.62,106.62
4,2026-07-25 00:15:00,0.3,0.3,21.87,21.87,-0.015,-0.019,353.1,105.93,105.93
5,2026-07-25 00:20:00,0.3,0.3,21.8,21.8,-0.029,-0.033,350.7,105.21,105.21
6,2026-07-25 00:25:00,0.3,0.3,21.73,21.73,-0.041,-0.039,348.3,104.49,104.49
7,2026-07-25 00:30:00,0.3,0.3,21.66,21.66,-0.059,-0.054,345.9,103.77,103.77
8,2026-07-25 00:35:00,0.3,0.3,21.59,21.59,-0.071,-0.07,343.5,103.05,103.05
9,2026-07-25 00:40:00,0.3,0.3,21.52,21.52,-0.088,-0.088,341.0,102.3,102.3
10,2026-07-25 00:45:00,0.3,0.3,21.45,21.45,-0.09,-0.105,338.6,101.58,101.58
11,2026-07-25 00:50:00,0.3,0.3,21.38,21.38,-0.116,-0.105,336.1,100.83,100.83
12,2026-07-25 00:55:00,0.3,0.3,21.32,21.32,-0.118,-0.128,333.6,100.08,100.08
13,2026-07-25 01:00:00,0.3,0.3,21.25,21.25,-0.136,-0.135,331.1,99.33,99.33
14,2026-07-25 01:05:00,0.3,0.3,21.18,21.18,-0.138,-0.14,328.5,98.55,98.55
15,2026-07-25 01:10:00,0.3,0.3,21.12,21.12,-0.151,-0.154,326.0,97.8,97.8
16,2026-07-25 01:15:00,0.3,0.3,21.06,21.06,-0.174,-0.165,323.4,97.02,97.02
17,2026-07-25 01:20:00,0.3,0.3,20.99,20.99,-0.19,-0.189,320.8,96.24,96.24
18,2026-07-25 01:25:00,0.3,0.3,20.93,20.93,-0.202,-0.198,318.3,95.49,95.49
19,2026-07-25 01:30:00,0.3,0.3,20.87,20.87,-0.206,-0.207,315.7,94.71,94.71
20,2026-07-25 01:35:00,0.3,0.3,20.81,20.81,-0.223,-0.221,313.1,93.93,93.93
21,2026-07-25 01:40:00,0.3,0.3,20.75,20.75,-0.219,-0.22,310.5,93.15,93.15
22,2026-07-25 01:45:00,0.3,0.3,20.69,20.69,-0.232,-0.226,307.8,92.34,92.34
23,2026-07-25 01:50:00,0.3,0.3,20.64,20.64,-0.248,-0.254,305.2,91.56,91.56
24,2026-07-25 01:55:00,0.3,0.3,20.58,20.58,-0.263,-0.25,302.6,90.78,90.78
25,2026-07-25 02:00:00,0.3,0.3,20.53,20.53,-0.273,-0.258,300.0,90.0,90.0
26,2026-07-25 02:05:00,0.3,0.3,20.47,20.47,-0.272,-0.266,297.4,89.22,89.22
